Tweets,Positive,Negative
 کتی کا بچہ بڑا سائنسدان  کتے کے اگے بین بجانے کا کیا فائدہ ,yes,
 تو اگر اپنے باپ کا ہے تو سامنے آ کر بات ہے کتے کے بچے تیری بہن کو بلاول ہاؤس میں لے جاکر چک کروایا ہے پوچھ لینا بغیرت انسان ,yes,
یہ بدبخت درندہ انسانوں میں رہنے کے قابل ہی نہیں ہے ,yes,
 نیا مادر چود کو اضافہ ہوگیا کون ہے یہ انجم کتا اس کو سرعام گولی مارنا,yes,
 کون سےکشمیر کی آزادی جس کا سودا نیازی کتے نے امریکہ جا کر کیا ,yes,
اب یہ ڈھونک ختم کرو ,yes,
 تم بکنے والے کتے ہو لفافہ صحافی ,yes,
 آگیا کتی دا بچہ ,yes,
 سبکے سب کتے کی موت میں مرے گے کسی بھی روپ میں ا جائے یہ کتے ٹھوک کے رکھ دیے گے اب انشاء اللہ ,yes,
 لعنت ھے تیری بزدلانہ سوچ پر گیدڑ کی طرح زندگی گزاروں اور کتے کی موت مرو بے غیرتوں ,yes,
 کتے کی نسل ھے یہ ,yes,
خدا بارڈر پر نظر رکھنے والے ہر فوجی کی حفاظت فرماے اور پارلیمنٹ پر نظر رکھنے والے ہر فوجی کو کتے کی موت نصیب کرے,yes,
مودی کتے کی موت مرےگا انشاءاللہ مودی کے کتے دم دبا کر باگ جائے گے کشمیر سے ,yes,
 بھونک کتے کی طرح حرامزادے ,yes,
 یہ انڈین کتا ھے اس کے آباواجداد بھی انڈین کتے تھے وہ بھونک بھونک کے مر گئے یہ بھی مرجاے گا ,yes,
 او کتے کی بچی حرام خور پاکستان کے جھنڈے کو ناپاک مت کر کتی ,yes,
 اس کتے کے بچے کر کہ کے آئے پاکستان آذادی گانڈ میں دیں گے اسکی ,yes,
 کتی دا پتر لخ دی لعنت ,yes,
 اے سب تیرے کتے دے بچے لوہار کا کام دلہ نے بہت راز بتایا بے غریت ,yes,
 اس کتی نسل کو سب پتہ ہے سودا ہو گیا ہے بند کرو یہ ڈرامے بازی کنجرو ,yes,
سب بکاو کتے ھیں,yes,
 نئے پاکستان کے آفیشل چینل سے لانچ کر دیا گیا شکریہ کتے کے بچے نیازی شکریہ,yes,
 لعنت ہو مودی کتے پی ,yes,
 نسلی کتے کھسری کے بچے ,yes,
 کسی سرٹیفائیڈ کھوتی کے بچے عالمی عدالت میں جانے کا راستہ دکھانے والا بھی تیرا وہی باپ تھا,yes,
 کتے کے بچے کتنے پیسے ملے اپنے باپ سے تجھے,yes,
کسی سرٹیفائیڈ کھوتی کےبچےعالمی عدالت میں جانےکاراستہ دکھانےوالابھی تیرا وہی باپ تھا میاں جسکے نطفہ ناہنجار کے نتیجے میں پیدا ہوا تھا ,yes,
کتے کو وہ کبھی شیر  نہیں کہتے کتا ہی کہتے ہیں ,yes,
 عمران نیازی کی کتی آپ کی وجہء شہرت؟ مبینہ واشل؟ آپ جیسا بغیرت ,yes,
پرویز رشید صاحب کیا شاعرانہ کتے خانی کیتی جے ,yes,
 بغیرتا تمہارے پاس سال تھے تونے کیا کرا اور کلبوشن کیس تمہارے دور کا تھا کتی کے بچے,yes,
 کتے بڑوے تو بچپن میں گانڈو رہا ہے بے غیرت دلال لعنت تیرے پہ ,yes,
ایدھی فاٶنڈیشن کی جانب سے پاگل یوتھیوں کو ٹھکانے لگانے کا کام جاری یہ وہی کتے ہیں جو نواز شریف کے دور میں روتے تھے ,yes,
اوئے دلیا اوئے کتیا اوئے خنزیرا اوئے سئورا او تیری ماں نوں لن ,yes,
ہاں جی کُتی کے بچے کیا بنا تیری اس ماں کا تیری ماں پی ٹی آئی سے ہے ,yes,
سمجھ سے بالا تر ھے کہ ای ایس پی ار کے جرنل غفور صاب کسی کتے کے غلط وقت بھونکنے پر ٹویٹیں ٹھوک دیتے ھیں,yes,
 عمران خان کے اردو میں بھونکنے والے کتے تم کو پتہ نہیں کہ اس وقت شہبازشریف کدھر ہے,yes,
آج دنیا نیوز کے شو ٹو دی پواٸنٹ میں کامران شاہد پان والا نے سٹوڈیو میں ایک انڈین کتے کو مدعو کر رکھا تھا جوپاکستان پر بھونک رہا تھا,yes,
 وڈا میجر سالا بندہ نہ زنانی نری کتے خانی ,yes,
 اپ اپنا کام کیا کریں کتے بھونکتے رہتے ہیں ,yes,
"وہ کتے جو پاکستان بنانے والوں پر بھونکتے ہیں، انکے نام ایک پیغام،  کتی کے بچے یہ سب تمھارا کیا کرایا ہے ",yes,
 سال سے تم نہیں بھونکے اب اپنی سیاست چمکانے کے لیے حکومت پر حملے کر رہے ہو  کتے کے بھوکنے اور تمھارے بھوکنے میں کوئ فرق نہیں ,yes,
 اس کتی کے بچے کو سرعام منہ کالا کر کے گدھے پر بیٹھا کر شہر کا چکر لگوایا جائے ,yes,
مدثر میں تمہارا خون پی جاوں گی اگر میرے اکاونٹ کو کچھ ہوا ,,no
خبردار اگر کسی نے آزاد کشمیر کی طرف دیکھا تو خون پی جاوں گی  ,,no
مودی میں تیرا خون پی جاؤں گا,,no
میرا کشمیر واپس کر حرامزادے ,,no
مجھے پتہ دیں سر میں اسے آپکے سامنے سولی پر چڑھا دوں ,,no
 دیوار میں چنوا دیں کیا؟ ,,no
انار کلی تو پھر بھی اپنے وقت پر دیوار میں چُنوا دی جائے گی ,,no
 اور ہم نے کرپٹ اپوزیشن کو دیوار میں چنوا دیا ہے ,,no
 برکھا دت شائد نہیں جانتی کہ خان جو بولتا ہے وہ کرکے دکھاتا ہے اور جب مارتا ہے تو رونے نہیں دیتا  ,,no
 سر اب جوابي كارواي نهى انكو سبق سكها دينا ,yes,
قصئہِ مختصر بلاول جیسے نابالغ ہمارے لیے کُتے کے پِلے کا درجہ رکھتے ہیں ,yes,
 شیح راشید اور کتے کے بھونکنے میں کوئی فرق نہی ,yes,
 ایے کتی بس کر دو اب  جتنی گالیاں تمہیں ٹویٹر پر پڑتی ہے یہ تمھارے غلط ہونے کا منہ بولتا ثبوت ہے,yes,
 مودی کتے مار جا تیری ماں نو ,yes,
 کتی کے بچے قوم کو گمراہ کرنے والے بھڑوے وطن فروشوں کے بوٹ چاٹنے والے تمہارا انجام دنیا عبرت کے طور پر یاد رکھے گی ,yes,
 جی بالکل اور الحمدللہ آج وہ دونوں کتے جیل میں ہے ,yes,
 اس کو ننگا کر کہ آگ لگا دوں اس کا منہ کالا کر دو اس کی گنج کر دو حرامزادی بےغیرت کی,yes,
اس کتے کا پٹہ کس نے کھول دیا,yes,
 پٹواریو کتے کی نسلو ,yes,
 بھٹی کتے کی صحافت یہ ھے دنیا کشمیر کشمیر کر رھی تھی یہ کنجری کا بچہ وٹس اپ پر چل کر کراچی کے گٹروں پر بات کر رھا تھا ,yes,
 تم افغانیوں کی گاںڈ پر لات مار کر افغانستان بھیجنے کا وقت ہوا جاتا ہے,yes,
نمک حرام کتے  لبرل اور قادیانی کتے ,yes,
 کتی کے بچے وطن فروشوں کے ٹاوٹ کیسی آزادی کیسا جشن کشمیر بیچ دیا حرام زادے تمہارے باپ باجوہ نے ایک نشئی کو فرنٹ مین بنا کر ,yes,
 خدا کے لئے کوئی اس کتے کے بچے کو سمجھاو یہ اسلامی جمہوریہ پاکستان کا وزیر سائنس و ٹیکنالوجی ہے,yes,
 کسی کتی نسل کے ہندو کی اولاد ہو تم بے غیرت تم جیسوں کو چوک پر سنگسار کرنا چاہیے جو انڈیا کے ساتھ ہو ,yes,
اوئے دلیا اوئے کتیا اوئے خنزیرا اوئے سئورا او تیری ماں نوں لن ,yes,
 کسی کنجری کے بچے منہ سنبھال کے بات کر جو بھی ہے تُو سامنے آ کر بات کرنے كتی کا پُتر  ,,no
 اوے حرام زادی منہ سنبھال کے بات کر خنزیرو قادیانی یہودی ایجنٹو یہ پاک سر زمین تمہیں جگہ نہیں دے گی  ,,no
 بات اگر تمیز سے کرنی ہے تو کرو اور پاک فوج کے بارے میں خاص طور پر منہ سنبھال کے بات کرو ,,no
 جناب بات ذرا منہ سنبھال کے کریں  میرا ان سے کوئی جھگڑا نہیں ہے ,,no
 پاگل تم ہو گی زرا منہ سنبھال کر بات کرو  ,,no
اچھا دھمکیاں مل رہی ہیں  ,,no
 استغفراللہ جنھوں نے یہ گھٹیا اور غیر انسانی حرکت کی ہے ان درندوں کا سرعام سر قلم کرنا چاہیے  ,,no
" میجر جنرل صاحب ہم کشمیر پر بات کرتے ہیں، کشمیریوں کی خاطر آواز بلند کرتے ہیں ",,no
فیس بک کے بعد ٹویٹر کی انتظامیہ نے بھی پاکستانی اکاؤنٹس جو کشمیر پر انڈیا کی جارحیت کے خلاف ٹویٹس کر رہے ہیں بلاک کر دیے ہیں ,,no
مطلب آپ سکھاؤ گے کہ لڑکیوں کو فیس بُک استعمال نہیں کرنی چاہئے یہ پازیٹو استعمال کرنا چاہئے ,,no
او تیرے پیو خادم لنگڑے دی ماں نوں لن,yes,
 حامد میر اگر یہ بات غلط ہوئی تو کتے تجھے اس دفعہ معاف نہیں کیا جائے گا اور اگر سچ ہوئی تو عمران خان کو ,yes,
اچھا آپ نے بہن دی ہوئی ہے عابد شیر علی کو پھر تو آپ کی عزت کرنا بنتی ہے ,yes,
 ممتاز  اے اپنی ماں دی پھودی چ دے جا کے,yes,
 چلو جی مان لیا وہ جیل میں اب کیا مجبوری ہے کیا نیازی نے اپنی بہن انڈیا کو دی ہوئی ہے,yes,
 سؤر کی اولاد نے اپنی ماں اور بہن ن کو دی ہوئی کسی دگڑ دلی ماں کے دگڑ دلے بچے کی اُس گندگی کا نتیجہ ہے,yes,
 کسی رنڈی کی اولاد ہو تیرے جیسے اپنی باجی پیش کر کے سائیکل کرائے پر لیتے ہیں,yes,
 تیرے جیسے اپنی بہن خود چھوڑ کر جاتے ہیں اور تاکید کرکے جاتے ہیں کہ پلیز زرا احتیاط کرنا,yes,
 کسے دگڑ دلے دی اولاد اتنا بہادر ہے تو بہن نیب کے آگے پیش کرنے سے اچھا تھا خود اپنی پیش کرتا نیب کے سامنے,yes,
 او کسی کھوتی دے پتر مری ہوئی ماں کو کیوں گالیاں نکلواتا ہے بے غیرت تو توں ہے تیرا پورا خاندان ہے,yes,
 آپ تے م ک ل بہن پیش کر دی ھے لیکن تیری غیرت تے تیری بنڈ وچ وڑی ھوئی ھے ,yes,
 نام کے شریف کام کے نسلی کنجر ,yes,
جب تک غیرت تھی تو ایک بہن کے خط پر محمد بن قاسم لشکر لے کر سندھ آ گیا جب بے غیرت ہوئے تو آپنی ہی بیٹی بیچ دی  لکھ دی لعنت تیرے جمن تے ,yes,
 لگتا ہے بہن دی ہوئی ہے تم نے اس گھٹیا کمینے ٹھرکی کو جو اتنی تکلیف ہو رہی  ہیں,yes,
 ان بیغیرتوں نے تو اپنی بہن پیش کی ھوئی تھی آج بلو کھسری نے بھی اپنی بہن پیش کر دی ھے  بلاول حرامزادہ زرداری  فراڈن کی گرفتاری ,yes,
 بڑے ہی غیرت مند بھائی ہیں رسیداں نیئں پیش کیتیاں نا خود ہوئے پیش بہن پیش کر دی ہے,yes,
 کتنے حرامی ہیں نا تمھارے سالے بوڑھے بیمار باپ کو ایک بار جیل ملنے نہیں آۓ ۔ خود اشتہاری ہیں بوڑھا باپ,yes,
 اچھا تو آپ سالا صاحب ھیں ظاھر ھے بہن دی ھے تو بہنوئی کی فیور بھی کرو گے ,yes,
 بھٹی تو اپنی بہن مودی کو بھی پیش کر دے جیسے تو نے نیازی کو کی ھوئی ھے تو وہ تیری بھی کال اٹنڈ کر لے گا دلے ,yes,
 تجے بڑی فکر ہے بہن دی ہوئی ہے پاکستان کو ,yes,
 چل ہٹ دفعہ ہو کسے کتے کی بچی ملک کے حالات خراب ہیں کشمیر جل رہا ہے اور تجھے سیاست اور اپنے کتے باپ کی فکر ہے,yes,
" سب سے بڑے گٹر کے کیڑے تو تم ہو وا شل ، جو دھرنے میں پیدا ہوئے تھے اور وہیں ڈی چوک میں ہی تمہاری بہن نے بھی پیش کروائی تھی",yes,
 انڈیا ھر بار لاھور مانگتا ھے حالانکہ بہن انہوں نے سیالکوٹ میں دی ھوئی ھے ,yes,
یہ بتاتے ہوئے تمہیں شرم سے مر جانا چاہیے بے غیرت بہن کو گلی گلی میں بھیج رہے ہو باپ جیل میں مر رہا ہے,yes,
خبیث انسان یہ وہ عورت نہیں ھے جھوٹے اور مکار انسان ضمیر فروش کشمیر فروش ,yes,
 کسے گندے گٹر کے چوہے ,yes,
 لنّت ہو تم جیسے منافق دو ٹکے کی انسان بریانی کی پیچھے بکنے والے ,yes,
 گدھے نما انسان ان گھٹیا لوگوں کی حکومت اب نہیں آئے گی خفیہ حرکتوں کی خبروں کو لیک کرنے والے خبیث آدمی ڈوب مر غدار وطن,yes,
 خبیث انسان جب تمھیں اندر کیا جاےؑ گا نا اس دن میں مٹھایؑ بانٹوں گا,yes,
 بیغیرت تماشائی قوم ,yes,
 اس خبیث انسان کو پاک فوج سے ہی نہیں بلکہ پاکستان سے دشمنی ہے لعنت اس پہ اور اس کی نسل پہ ,yes,
 کیسا خبیث انسان ہے خود کا بھی بتا دیتا خود کس کا ڈسا ہوا ہے  ,yes,
 خبیث انسان جب یہ لوگو کو تیزاب میں جلاتی تھی اُس ٹائم تو کدھر تھا بھاڑ میں جائے ایسا اتحاد  ,yes,
 کتنا خبیث انسان ہے تو  ,yes,
 اس کو کون دفنائے گا اس کو ممی بنا کے چوک پر رکھا جائے گا عبرت کے نشان کے طور پر  ,,no
 ہر کدے آؤ اس بار واپس نہیں کریں گے میوزیم میں نشان عبرت بنا کر رکھیں گے  ,,no
انکا شرم سے کوئی تعلق نہیں ہے۔ تھر میں ہی بچے مر رہے ہیں۔نہ۔انکو کیا لینا دینا۔ انکا گاڈ فادر جیل میں ہے  ,,no
 خدا کرپشن کرنے والے ہر سیاستدان کو عبرت کا نشان بنا دے آمین  ,,no
اللہ تعالیٰ یہ انصاف کی کرسی کسی کسی کو نصیب کرتا ھے ,,no
 سر یہ آنکھیں انصاف مانگ رہی ہیں خدارا ریحان کے سفاک قاتلوں کو عبرت کا نشان بنا دیں ,,no
 یاد رکھیے اس ملک کے جس نے بھی نقصان پہنچایا وہ عبرت کا نشان بنا ہے اندرا گاندھی اور مجیب الرحمان یاد کریں ,,no
 یہ کافر اینٹ کا جواب پتھر سے ہی سمجھتے ہیں اور وہ بھی خوب سمجھتے ہیں حکومت کو فی الفور جہاد کا اعلانکرنا چاہیے ,,no
 آس غریب عوام کا پیسہ لوٹ کر باہر کے ممالک میں پراپرٹیاں بنائی گئی اللہ ان کو نشان عبرت بنا امین  ,,no
 انڈین اینکر پاکستانی سپوک پرسزز کو بلا کر بہت تکبر سے بات کرتے ھیں انکا مایک بند کر ہیں ,,no
جنرل باجوہ کا نام سن کر مودی کی ٹانگیں کانپتی ہیں آرمی چیف نے پُلوامہ میں بھارتی فوج کو ڈنڈا دیا  ,,no
 تیری بہن کی تو بولتی بند ہوئی پڑی ہے  ,,no
اس کی بولتی بند ھے آج کل کیونکہ اس کے اوپر سے ابھی تک ہولی کا رنگ نہیں اترا  ہندو کی بچی  ,,no
جنرل قمر باجوہ نے بھارتی فوج کو ڈنڈا دیا اور اب آئندہ تین سال ان کے ساتھ کیا کرتے رہیں گے ,,no
نون اور پیپلز پارٹی کے لوگوں کا پتا کرو مر تو نہیں گئے جس دن سے کشمیر کی بات ہو رہی ہے ان کی بولتی بند ہو گئی ہے  ,,no
نمک والے بھاٸ خادم صاب کی فوج نے ٹھکاٸ ایسے کی ہے کہ اب انکی بولتی بند ہوگٸ ہے آپ براہ مہربانی ایشوز پر بات کریں  ,,no
معروف صحافی ملیحہ ہاشمی نے بھارتی ٹی وی پر بھارتی جرنیل کی بولتی بند کر دی  ,,no
 پتہ نہی زرداری کے معاملے میں قانون کی بولتی کیوں بند ہو جاتی ہے ,,no
 آپ اچھا جواب دیتی ہیں بولتی بند کر دیتی ہیں  ,,no
 غریبوں کا خون چوس کر تمام ترقیاتی کام بند کروا کر  ظاہر ہے تجارتی خسارہ کم ہی ہو گا  باقی پر بھی بولتے نا منافق انسان  ,,no
 تم وہ بدنصیب ہو جو پیسے کیلیے اپنی بیٹی کو استعمال کرکے گوروں کے غلام بن گئے   ,,no
ٹویٹر اور فیس بک ان اکاؤنٹس کو ہی بند کیوں کرتے ہیں جو بھارت کے ظلم اور جارحیت کے خلاف بولتے ہیں ,,no
"اگر سندھ حکومت کو ٹیکس نا دیں تو کیا وسیم اختر کو دیں ؟؟؟ جھوٹ بولتے ہیں یہ، حرام کھاتے ہیں ",,no
کچھ تصویریں بولتی نہیں بلکہ چیختی ہیں کہ ڈرامہ سیریل بند کرو  ,,no
 دو چار دن جیل میں رہنے کے بعد اس کی بولتی بند ہوگئی ہے  ,,no
 یہ خبیث انسان جن کا ایجنٹٹ ھے انکی ہی زبان بولے گانا ,yes,
 اور تمارا دادا کیا کرتا تھا موچی گیٹ میں پالش برف بیچنا بھی کاروبار ہوتا خبیث انسان یہ بھی کوئئ تنز والی بات ہے کیا  ,yes,
 اوئے کھسرے تُو وہی ہے نا جس کے آباء نے خالصتان تحریک کے لوگوں کی لسٹیں انڈیا کو دی تھی  ,yes,
خبیث انسان ,yes,
 انور لودھی پیدا ہی گناہ کمانے کیلئے ہوا ہے لفافہ کا نہیں پتا کس کس کو ملتا رہا ہے ,yes,
 پتہ نہیں کسے ڈرا رہے ہیں انڈیا کو یا اپنے ملک کو ایسے غلیظ بیان انڈیا کو دینے والے کتے کو حکومت کیوں نہیں پکڑتے ,yes,
 تم خبیث انسان ہو وجہ کیا ہے پتہ کرو  ,yes,
کسی ملک میں کسی خبیث صفت انسان کے ہاتھ طاقت کا آنا شائد اجتماعی گناہ کی سزا ہے ,yes,
 کشمیری عوام کیا ھیں خبیث انسان؟,yes,
تجھے ان دونوں حرامیوں کی بہت فکر ھے؟  ,yes,
لعنت ایسے غداروں پر  ,yes,
 اوئے جا اوئے خبیث انسان منہ پر سنت رسول ﷺ رکھی ھے اور جھوٹی کہانیاں جتنی مرضی گڑ لو جا کر اندرون لاھور,yes,
 او دلیا تو بس یہ بتا کہ یہ چند منٹ کی بارش سے ہوا ہے  اوے کنجرا کیوں چولیں مارتا ہے خبیث پٹھیا انسان بن جا ,yes,
 آپ جیسے حرامی انسان سے تو بہتر ہیں ویسے تعلق کیا ہے شاہ صاحب اور پاکستان سے خبیث انسان ,yes,
خبیث انسان نام اتنا اچھا اور کام اتنا برا ,yes,
 لعنت تجھ پر آج مجھے افسوس ہے کہ تجھ جیسے بے حس کو ووٹ دیا تھا خبیث انسان ,yes,
 اب اس قوم کا اللہ ہی حافظ ہے بلاتحقیق اپنے وزیر خارجہ پر ایک خبیث انسان کے کہنے پر دشنام طرازی کر رہے ہیں,yes,
 چل جھوٹے  خبیث بے شرم انسان ,yes,
 ارشاد بھٹی تو ایک خبیث اور کمینہ انسان ہے ,yes,
او بیغیرت حکمرانوں شرم سے ڈوب مرو بیغیرتو آخر کس بات کا ڈر ہے تمہیں خدا کی قسم دل خون کے آنسو روتا ہے,yes,
ایک کتورا گورایا ہے جو ابھی تک ہتھے نہیں چڑھ رہا ہڈی ڈال کے پٹا ڈالنا ہے,yes,
کوئی ہے ریاست یا حکومت میں جو بے حیا بے غیرت اور ذلیل انسان احسن اقبال کے گلے میں پٹا ڈال دے؟,yes,
کتے کیبھونکی جا… ,yes,
یہ اسٹیبلشمنٹ بول رہی ہے آج الطاف بھائی کے بنا ایک کتے کو پٹا ڈال رکھنا ناممکن ثابت ہوا,yes,
حیرانی ہے کہ حامد میر غدارِ وطن کے گلے میں پاکستانی خفیہ ایجنسیاں ابھی تک پٹا کیوں نہی ڈال رہی,yes,
اس خنزیرن پر کتے چھوڑنے چاہیے بے غیرت کس طرح معصوم لڑکی جو کہ اپنا رزق کما رہی ہے محنت کر رہی ہے اس کو پڑ گئی ہے,yes,
خدا کی قسم اسوقت یہ حرامزادہ میری رینج میں ہوتا تو اس کو جوتے مار مار کر جان نکال دیتا,yes,
کشمیر ہمارا ہے اور انڈیا کے بھی ٹکرے کرے گے ,yes,
"اوئے انڈین کتو گولے کیوں مارتے ہو، دم ہے تو اینٹ مار کردکھائیں پھر دیکھنا میرا کپتان اس کا جواب پتھر سے کیسے دیتا ہے",yes,
گولی ماریں گے سالے کو ۔۔۔,yes,
قبرستان تجھ جیسے حرامیوں سے بھی بھرے پڑے ہیں ,yes,
ایسے کتوں کو گانڈ میں گولی مارنی چاہیے ,yes,
"یہی غنڈا گردی لگائی ہوئی ہے بیغیرتوں نے جب جس کو دل چاھا اٹھا لیا، لوکپ میں ڈال فیا ، یا گولی مار دی، ",yes,
جھاں بھی پاکستان کے خلاف بات ھوگی ریحام خان اسی غدار لوگوں کے ساتھ کھڑی ھوگی معلوم نھیں کہ اس کنجری کو کس نے بیھجا… ,yes,
باڈر پہ سینے پہ گولی یہ گمنام ھیرو کھاتے ہیں ۔۔۔اور میڈلز مہوش حیات جیسے رنڈیو کو ملتے ہیں ۔۔۔افسوس ,yes,
"پاگل کتے سے انسان جان بچاتا ہے، جیسے ہمارا پڑوسی ہوا ہوا ہے، آخر کر پاگل کتے کو گولی ماری جاتی ہے",yes,
نہ کتوں کی زبانیں کاٹی جاتی ہیں اور نہ ہی سؤروں کے ہاتھ انہیں سیدھی گولی ماری جاتی ,yes,
بے غیرت عورت تم نے اور تمھارے خاندان نے سندھ کے ساتھ جو کیا ھے تمھیں اور تمھارے خاندان کو چوک میں ننگا کر کے پھانسی…,yes,
بےشرم ڈاکو رانی,yes,
"تیری بہن کو بھی تربیت ان بٹوں نے دی تھی، کیسی کنجری طوائف کے بچے۔ زبان سنبھال کر بات کیا کر۔ اگر بٹ برادری کا دماغ…",yes,
کسن نے تیری بہن کو ڈی چوک میں ننگا کیا تھا اب فیصلہ کر کس کو لئے کر جائے گا,yes,
ماسی دیکھ تیرے حادثاتی چئیرمین تے اس دے بے غیرت پیو سے سارے کھتے چھتے کھل گے نے,yes,
پنڈی کا شیطان بےغیرت انس…,yes,
گشتی کی بچی کو بتاٶ اب کیوں بند کیا ہے رنڈی کی اولاد,yes,
کسی گشتی کے بچے حرام زادے باپ کی اولاد حرامی اولاد جب تم لوگ اپنے باپ کت نہیں تو مادر چود بھڑوے حرامی پاکستان کے,yes,
بھونک مت تو تو کی اولآد,yes,
ھمیں بغیرت کہنے والے تم پر تو دلالی اور بھڑوہ گری کا انٹرنیشنل ٹیگ لگا ہوا کہ ماں بھی بیچ دیتے ہو,yes,
گشتی ماں کی گندی اولاد,yes,
یہ ہے گشتی کی اولاد ہیرا منڈی کی پیداوار فک یو,yes,
تیرا بھی کوئی باپ انکل چاچا تایا ہے کہ بن مانس کی اولاد ہو گشتی نا ہو,yes,
اور پنجابی میں مبشر علی زیدی کہتے ہیں ۔۔۔۔اور گجراتی میں گھوتی کا پتر کہتے ہیں اور سرائیکی میں گشتی ماں کی اولا,yes,
تیری ناپاک ترین فوج ہی اس کو اٹھا کر کے گئی تھی جب اس گشتی کو گولی لگی تھی تو اب بتاء تجھ پر لعنت بھجوں,yes,
نکو ڈی چوک میں ھی الٹا لٹکا کر انکی تشریف پہ چھترول کی جاے ٕ,yes,
یہ ہے RSS کی وہ غلیظ ترین رنڈی عورت جس نے کہا ہے کہ ہندو لڑکے Groups بنا کر مسلمانوں کے گھروں پر حملہ کریں,yes,
وہ کون کتے کا بچہ تھا جو کہتا تھا پورے ملک میں آگ لگادو,yes,
اوئے گانڈو کے لوڑے,yes,
یہ آصف غفور کنجر کہاں چھپ گیا ہے؟ آج کل اسکی گانڈ پٹاخے نہیں مار رہی ؟,yes,
واہ اوئے چوتیوں مودی بغیر تھوک لگائے تمہاری گانڈ مار رہا اور تم اب بھی پتہ نہی کونسی امیدیں لگائے بیٹھے ہو,yes,
اور تم قادیانی ہو اسلئے ہم نے تمہاری گانڈ پر لات مار کر پاکستان سے باہر پھینکا ہے,yes,
کشمیری پاکستانی اور سکھ  مودی اور اس کے کتوں سے تنگ ہے ,yes,
بھارتی کتوں کی ہماری فوج کے ہاتھوں تو پٹائی ھو ہی رہء ھے اب تو پوری دنیا میں انکو جوتے پڑ رہے ہیں,yes,
یہ بارش کا پہلا قطرہ ہے ؛ اس کھوتو خان اور اسکے ابا کو جب تک جوتے مار کر نہی نکالیں گے تب تک یہ جائیں گے,yes,
اتنی منافقت کر رہا ہے یہ خنزیر کا بچہ کوئی پلیز ایسے لوگوں کو سرعام گولیاں مار دے خدا کی قسم سب ٹھیک ہو جائے گا,yes,
پیارے پاکستانیوں قمر جاوید اور جیسے حرامزداوں کے اخباری بیانات اور ٹویٹوں پر تالیاں,yes,
کشمیر کا سودا کرنے والے دلے حکمرانوں اور اس سازش میں شامل لوگوں پرلعنت بے شمار کشمیر کے مسٸلہ کا ایک ہی حل الجہاد,yes,
یہ بے غیرت فیصلے کرتے رہے وہ کشمیر پر پورا قبضہ کر گیا ہے اور اب بھی یہ فیصلے ہی کرتے رہیں گے بے غیرت لوگوں کی ٹیم جمع کر رکھی ہے,yes,
اسے خان کہتے ہیں جاہل کھوتا خور پٹواری نھی ایسی بونگیاں تمہارے غدار چور لیڈر ھی مار سکتے ہین,yes,
ابی سالے چوتیہ کی اولاد تم لوگوں پیشاب بھی یہ نہیں کرتے سالے بھرم کرواتا ھے دھمکی دیتا ھے کھسرے ,yes,
کون کُتے کا بچہ کہتا تھا کہ تم سال کے لیے آتے ہو اور ہم نے ہمیشہ رہنا ہے اینٹ سے اینٹ بجا دیں گے,yes,
اور زرداری کی ڈیش اینٹ سے بجای گی,yes,
جب بیغیرت حکمران ھوں تو پہر گیدڑ دھمکیاں دے گی ,yes,
"تیری بیوی اسی سپلائی کا حصّہ تھی، منگوایا تو نے لونڈا تھا بُنڈ مروانے کے لیے، لیکن ارشاد نے عورت بھیج دی",yes,
گاے کا پیشاب پینے والوں سن لو الحمداللہ ھم مسلمان ہیں ھم موت سے ڈرنے والے نہیں ھم موت کو گلے لگاتے ہیں ۔,yes,
اس بے غیرت کی حرکت کو نظر انداز نہ کریں۔ اس نے بہت شاطر چال چلی ہے,yes,
"مودی کے دوست نے طوطا پالا، مودی جب بھی دوست کےگھر جاتا طوطا چلانے لگ جاتا او حرامزادہ بیغیرت آ گیا۔",yes,
بکواس نہ کر بے کھسری ,yes,
حاکم وقت تیرے کردار پہ تُھو,yes,
پھر کہتے ہیں ہمیں نمک حرام کیوں کہتے ہو ہماری ہڈی کھا کر ہمیں ہی کاٹتے ہو شکل دیکھو اس حرامی کی شکل دیکھو منحوس  ,yes,
سوشل میڈیا پر اپنے اپنے مفادات کے لئے کچھ سیاسی و غیر سیاسی طبقوں کے پالتو معزز شہریوں پر سرِ عام بھونکتے ہیں ,yes,
بلو رانی کس گندی نسل کے کتے بہن چود حرام خور کی گندی اولاد کنجر انسان بغیرت انسان ,yes,
لکھتے ریے مجھے تو تمہارے حلال زادے ہونے پر شک ہے ,yes,
تیرے جیسے دلال سارا دن بیٹھ کے اپنی بہنوں کے ٹکٹ کاٹتے ہیں اور شام کو پک اینڈ ڈراپ کی سہولت بھی مہیا کرتے ہیں ,yes,
لعنتیوں کنجروں بھیڑیوں نسلی کتوں کے درمیان شیر لیٹا ہے,yes,
حاکمِ وقت تیری مردہ ضمیری پر لعنت ,yes,
لاشوں پر سیاست لعنت تمہاری ایسی سیاست پر بیعرتوں ,yes,
سور کی اولاد حرامی کتے دلے کمینے ذلیل لاشوں پر بھی سیاست کرتے ہوئے شرم نہیں آتی ,yes,
کوئی اس بے غیرت کو بتائے اس کی بہن اس جائیداد کی وجہ سے جیل میں ہے جس میں یہ الحمدللہ کہہ کر مفرور ہے ,yes,
نہ کوئی چاقو نہ کوئی خنجر عمران نیازی کنجر یوتھیے کنجر,yes,
